Pack_Type,Rank,dimN,Sim_Type,SVD Method,Timing, MeanError, MaxError,Frobenius,Compres,ID
1,64,1024,2,1,97.624,74.9796,9979.03,204551,12,1024064211
2,64,1024,2,0,109.477,8.65E-05,0.000366211,0.151306,12,1024064220
2,64,1024,2,1,97.738,60.041,16161.2,204578,12,1024064221
0,64,1024,3,0,145.485,4.39E-05,0.000244141,0.137587,12,1024064300
0,64,1024,3,1,98.8863,96.1714,12968.7,204568,12,1024064301
1,64,1024,3,0,290.133,8.57E-05,0.000488281,0.20074,12,1024064310
1,64,1024,3,1,98.2686,117.294,11563.3,216927,12,1024064311
2,64,1024,3,0,190.866,6.21E-05,0.000244141,0.155571,12,1024064320
2,64,1024,3,1,100.099,90.4651,12758.3,206089,12,1024064321
0,64,1024,4,0,332.007,7.38E-05,0.000854492,0.249799,12,1024064400
0,64,1024,4,1,94.19,117.806,8256.97,212063,12,1024064401
1,64,1024,4,0,406.919,0.000150747,0.00170898,0.36402,12,1024064410
1,64,1024,4,1,95.5552,169.113,8842.55,221627,12,1024064411
2,64,1024,4,0,364.419,0.000105529,0.000976562,0.266978,12,1024064420
2,64,1024,4,1,94.3639,133.092,7453.62,212022,12,1024064421
0,64,1024,5,0,152.378,0,0,0,12,1024064500
0,64,1024,5,1,93.7293,25.7615,2040.7,45142.7,12,1024064501
1,64,1024,5,0,269.363,2.54E-05,0.000152588,0.0592661,12,1024064510
1,64,1024,5,1,95.5673,33.8499,1702.4,46255.3,12,1024064511
2,64,1024,5,0,115.382,1.22E-05,6.10E-05,0.0389847,12,1024064520
2,64,1024,5,1,94.7007,27.2114,1565.76,45145.6,12,1024064521
0,64,2048,0,0,3147.15,351.104,1657.22,980149,16,2048064000
0,64,2048,0,1,282.558,11040.1,124178,2.01E+07,16,2048064001
1,64,2048,0,0,2810.33,469.287,1730.56,980912,16,2048064010
1,64,2048,0,1,273.543,13623.5,106354,2.01E+07,16,2048064011
2,64,2048,0,0,2801.35,470.812,1693.48,982743,16,2048064020
2,64,2048,0,1,273.388,11271.5,111871,2.01E+07,16,2048064021
0,64,2048,1,0,3191.5,358.871,1619.97,992767,16,2048064100
0,64,2048,1,1,282.195,11054.9,127738,2.01E+07,16,2048064101
1,64,2048,1,0,2831.8,478.022,1580.2,992954,16,2048064110
