Pack_Type,Rank,dimN,SimType,SVDMeth,Timing, MeanError, MaxError,Frobenius,Compres,ID
0,32,1024,5,1,93.4791,26.2754,1868.83,32614.4,25,1024032501
1,32,1024,5,0,267.448,2.53E-05,0.000152588,0.0592661,25,1024032510
1,32,1024,5,1,96.5658,43.062,1713.13,34137.8,25,1024032511
2,32,1024,5,0,114.674,1.18E-05,6.10E-05,0.0389847,25,1024032520
2,32,1024,5,1,93.9348,28.6799,1343.34,32618.4,25,1024032521
0,32,2048,0,0,3177.33,367.104,1503.81,1.01E+06,32,2048032000
0,32,2048,0,1,281.428,9158.63,120172,1.42E+07,32,2048032001
1,32,2048,0,0,2833.43,489.788,1494.93,1.01E+06,32,2048032010
1,32,2048,0,1,273.139,8753.16,102631,1.42E+07,32,2048032011
2,32,2048,0,0,2800.26,492.036,1493.59,1.02E+06,32,2048032020
2,32,2048,0,1,281.149,9101.59,106955,1.42E+07,32,2048032021
0,32,2048,1,0,3443.52,372.816,1610.86,1.03E+06,32,2048032100
0,32,2048,1,1,298.061,9867.92,105821,1.42E+07,32,2048032101
1,32,2048,1,0,2806.59,499.135,1475.37,1.03E+06,32,2048032110
1,32,2048,1,1,275.344,8817.77,110819,1.42E+07,32,2048032111
2,32,2048,1,0,2876.98,496.687,1497.5,1.03E+06,32,2048032120
2,32,2048,1,1,283.993,8984.21,107260,1.42E+07,32,2048032121
0,32,2048,2,0,129.847,4.38E-05,0.000244141,0.147239,32,2048032200
0,32,2048,2,1,241.928,100.028,3209.69,145736,32,2048032201
1,32,2048,2,0,558.764,4.59E-05,0.000244141,0.123896,32,2048032210
1,32,2048,2,1,241.796,113.032,3394.43,147860,32,2048032211
2,32,2048,2,0,419.556,3.60E-05,0.000183105,0.117314,32,2048032220
2,32,2048,2,1,238.808,82.1441,11782.6,147803,32,2048032221
0,32,2048,3,0,498.267,3.52E-05,0.000183105,0.11715,32,2048032300
0,32,2048,3,1,243.457,155.339,9062.11,147848,32,2048032301
1,32,2048,3,0,844.36,6.05E-05,0.000244141,0.146948,32,2048032310
1,32,2048,3,1,244.033,173.329,7414.52,153711,32,2048032311
2,32,2048,3,0,303.898,7.17E-05,0.000244141,0.16063,32,2048032320
2,32,2048,3,1,246.551,136.385,5314.68,145734,32,2048032321
0,32,2048,4,0,1905.87,0.580508,6.51782,3282.82,32,2048032400
0,32,2048,4,1,239.6,99.1315,1708.93,155993,32,2048032401
1,32,2048,4,0,2149.33,0.00308887,0.0500488,97.1364,32,2048032410
1,32,2048,4,1,238.731,213.075,1645.7,160597,32,2048032411
2,32,2048,4,0,1194.02,0.000100875,0.000854492,0.390436,32,2048032420
2,32,2048,4,1,237.526,130.63,8039.12,153395,32,2048032421
0,32,2048,5,0,655.382,1.11E-05,9.16E-05,0.0377423,32,2048032500
0,32,2048,5,1,236.076,41.2501,2987.19,32628.5,32,2048032501
1,32,2048,5,0,1320.28,2.38E-05,0.000152588,0.0564319,32,2048032510
1,32,2048,5,1,241.135,55.1547,2011.4,34077.6,32,2048032511
2,32,2048,5,0,456.509,1.22E-05,6.10E-05,0.0367195,32,2048032520
2,32,2048,5,1,241.955,34.5137,1974.02,32620.8,32,2048032521
