y2,z2,w2,x2
130.122,41.9371000000,15,106
91.9589,41.9021000000,15,107
42.7234,1632.1700000000,15,108
655.643,0.0000000000,16,109
455.773,0.0000610000,16,110
1319.31,0.0001525880,16,111
237.908,2040.8300000000,16,112
237.035,3031.6100000000,16,113
239.163,2542.5400000000,16,114
150.195,0.0000000000,25,115
114.674,0.0000610000,25,116
267.448,0.0001525880,25,117
93.4791,1868.8300000000,25,118
93.9348,1343.3400000000,25,119
96.5658,1713.1300000000,25,120
50.7532,0.0000000000,30,121
53.6575,0.0000610000,30,122
80.5058,0.0001525880,30,123
42.0607,1979.0300000000,30,124
41.9298,1470.6200000000,30,125
42.6414,351.9410000000,30,126
37.934,0.0000000000,31,127
56.6104,0.0000610000,31,128
33.295,0.0000610000,31,129
18.1084,0.9666440000,31,130
59.8219,2.0145600000,31,131
30.2472,433.8100000000,31,132
15.4443,289.2370000000,31,133
55.2606,689.0590000000,31,134
43.2745,1396.9300000000,31,135
32.816,262.1440000000,31,136
51.8904,41.6454000000,31,137
34.893,340.4290000000,31,138
456.509,0.0000610000,32,139
655.382,0.0000916000,32,140
1320.28,0.0001525880,32,141
241.955,1974.0200000000,32,142
236.076,2987.1900000000,32,143
241.135,2011.4000000000,32,144
149.893,0.0000916000,51,145
114.134,0.0000610000,51,146
265.55,0.0001525880,51,147
92.8732,1703.2900000000,51,148
94.2636,1076.1400000000,51,149
94.4485,323.8550000000,51,150
49.6773,0.0000916000,60,151
52.8744,0.0000610000,60,152
121.312,1.9946900000,60,153
43.2275,1917.7300000000,60,154
41.7743,286.6340000000,60,155
67.7698,265.4500000000,60,156
31.3767,0.0000610000,63,157
22.7685,0.8775330000,63,158
29.9553,172.1040000000,63,159
21.5497,141.8620000000,63,160
74.8907,42.2950000000,63,161
42.2146,164.6800000000,63,162
453.782,0.0000610000,64,163
652.173,0.0000916000,64,164
1310.62,0.0001525880,64,165
237.128,1923.9800000000,64,166
234.172,2264.4400000000,64,167
241.028,314.3760000000,64,168
149.783,0.0000916000,102,169
113.425,0.0000610000,102,170
264.908,2.0103800000,102,171
91.6466,251.3700000000,102,172
93.902,290.3380000000,102,173
93.8509,290.2270000000,102,174
52.0741,0.0000610000,120,175
51.7178,0.9438020000,120,176
43.2259,142.9060000000,120,177
43.4797,143.8410000000,120,178
80.1024,29.1293000000,120,179
42.3225,216.1790000000,120,180
454.545,0.0000610000,128,181
653.384,0.0000916000,128,182
1311.48,2.0054300000,128,183
238.706,224.9810000000,128,184
236.667,420.6400000000,128,185
238.91,304.8910000000,128,186
113.569,0.0000610000,204,187
149.606,0.9684450000,204,188
93.5827,224.1650000000,204,189
93.9329,173.8670000000,204,190
265.214,42.0501000000,204,191
94.4929,165.3510000000,204,192
453.636,0.0000610000,256,193
654.32,0.9725650000,256,194
238.477,224.9490000000,256,195
235.561,312.8210000000,256,196
1310.44,41.8125000000,256,197
239.58,258.5690000000,256,198
