Agent_Num,Pack_Type,Rank,dimM,dimN,Sim_Type,SVDMethod,Spatial_Size,y2, MeanError, z2,Frobenius,Total_Raw,x2
1048576,2,8,8192,512,5,1,2048,43.2275,27.4248000000,1917.7300000000,18215.2000000000,60,154
1048576,0,8,8192,512,5,1,2048,41.7743,28.3099000000,286.6340000000,18241.9000000000,60,155
1048576,1,8,8192,512,5,1,2048,67.7698,48.6369000000,265.4500000000,20681.7000000000,60,156
1048576,2,4,16384,256,5,0,2048,31.3767,0.0000162000,0.0000610000,720.7190000000,63,157
1048576,0,4,16384,256,5,0,2048,22.7685,0.1790220000,0.8775330000,723.2310000000,63,158
1048576,2,4,16384,256,5,1,2048,29.9553,30.9061000000,172.1040000000,14518.7000000000,63,159
1048576,0,4,16384,256,5,1,2048,21.5497,27.4819000000,141.8620000000,14532.8000000000,63,160
1048576,1,4,16384,256,5,0,2048,74.8907,14.0264000000,42.2950000000,33390.2000000000,63,161
1048576,1,4,16384,256,5,1,2048,42.2146,39.5002000000,164.6800000000,36789.2000000000,63,162
1048576,2,16,2048,2048,5,0,2048,453.782,0.0000110000,0.0000610000,0.0367194000,64,163
1048576,0,16,2048,2048,5,0,2048,652.173,0.0000111000,0.0000916000,0.0377423000,64,164
1048576,1,16,2048,2048,5,0,2048,1310.62,0.0000237000,0.0001525880,0.0564319000,64,165
1048576,2,16,2048,2048,5,1,2048,237.128,37.2968000000,1923.9800000000,24021.5000000000,64,166
1048576,0,16,2048,2048,5,1,2048,234.172,44.4158000000,2264.4400000000,24032.0000000000,64,167
1048576,1,16,2048,2048,5,1,2048,241.028,82.5128000000,314.3760000000,25965.3000000000,64,168
1048576,0,8,4096,1024,5,0,2048,149.783,0.0000108000,0.0000916000,0.0387088000,102,169
1048576,2,8,4096,1024,5,0,2048,113.425,0.0000123000,0.0000610000,0.0389845000,102,170
1048576,1,8,4096,1024,5,0,2048,264.908,0.6640410000,2.0103800000,1448.0600000000,102,171
1048576,0,8,4096,1024,5,1,2048,91.6466,39.6703000000,251.3700000000,18250.3000000000,102,172
